6001|阿莫西林|阿莫仙|阿莫灵|8.00|10.40|76|4|0|2026-01-01|2028-01-01
6002|阿莫西林|阿莫仙|联邦阿莫仙|10.50|13.65|84|8|0|2026-01-04|2028-01-04
6003|头孢克肟|世福素|世福素|13.00|16.90|92|12|0|2026-01-07|2028-01-07
6004|头孢克肟|世福素|达力芬|15.50|20.15|100|16|0|2026-01-10|2028-01-10
6005|对乙酰氨基酚|扑热息痛|泰诺林|18.00|23.40|108|20|0|2026-01-13|2028-01-13
6006|对乙酰氨基酚|扑热息痛|百服宁|20.50|26.65|136|4|0|2026-01-16|2028-01-16
6007|氯化钠注射液|生理盐水|科伦|23.00|29.90|144|8|0|2026-01-19|2028-01-19
6008|氯化钠注射液|生理盐水|双鹤|8.00|10.40|152|12|0|2026-01-22|2028-01-22
6009|维生素C|VC|白云山|10.50|13.65|160|16|0|2026-01-25|2028-01-25
6010|维生素C|VC|东北制药|13.00|16.90|168|20|0|2026-01-28|2028-01-28
6011|奥美拉唑|奥美|洛赛克|15.50|20.15|76|4|0|2026-01-31|2028-01-31
6012|奥美拉唑|奥美|奥克|18.00|23.40|84|8|0|2026-02-03|2028-02-03
6013|阿奇霉素|阿奇|希舒美|20.50|26.65|92|12|0|2026-02-06|2028-02-06
6014|复方甘草片|甘草片|甘草合剂|23.00|29.90|100|16|0|2026-02-09|2028-02-09
6015|多潘立酮|吗丁啉|吗丁啉|8.00|10.40|108|20|0|2026-02-12|2028-02-12
6016|氨溴索|沐舒坦|沐舒坦|10.50|13.65|136|4|0|2026-02-15|2028-02-15
6017|氯雷他定|开瑞坦|开瑞坦|13.00|16.90|144|8|0|2026-02-18|2028-02-18
6018|云南白药|白药|云南白药胶囊|15.50|20.15|152|12|0|2026-02-21|2028-02-21
6019|双氯芬酸钠|扶他林|扶他林|18.00|23.40|160|16|0|2026-02-24|2028-02-24
6020|乳酸菌素片|整肠生|整肠生|20.50|26.65|168|20|0|2026-02-27|2028-02-27
6021|维生素B6|VB6|VB6片|23.00|29.90|76|4|0|2026-03-02|2028-03-02
6022|肠溶阿司匹林|拜阿司匹灵|拜阿司匹灵|8.00|10.40|84|8|0|2026-03-05|2028-03-05
6023|甲钴胺|弥可保|弥可保|10.50|13.65|92|12|0|2026-03-08|2028-03-08
6024|硫酸镁|泻盐|硫酸镁口服液|13.00|16.90|100|16|0|2026-03-11|2028-03-11
6025|地塞米松|氟美松|地塞米松片|15.50|20.15|108|20|0|2026-03-14|2028-03-14
6026|诺氟沙星|氟哌酸|氟哌酸|18.00|23.40|136|4|0|2026-03-17|2028-03-17
6027|赖氨酸|赖氨酸B12|赖氨酸B12|20.50|26.65|144|8|0|2026-03-20|2028-03-20
6028|葡萄糖酸钙|葡钙|葡钙片|23.00|29.90|152|12|0|2026-03-23|2028-03-23
6029|硝酸甘油片|救心丸|信谊|8.00|10.40|160|16|0|2026-03-26|2028-03-26
6030|板蓝根颗粒|板蓝根|板蓝根|10.50|13.65|168|20|0|2026-03-29|2028-03-29
